step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.01113,0.99626,0.06876,0.94667
2,0.70958,0.82667,,
3,1.04754,0.7619,,
4,0.02173,0.99015,,
5,0.0,0.0,,
6,0.20692,0.94972,,
7,0.19687,0.9596,,
8,0.0,0.0,,
9,0.0369,0.98206,,
10,0.06474,0.96788,,
11,0.84794,0.66667,,
12,0.09385,0.95758,,
13,0.01874,0.99386,,
14,0.21941,0.9084,,
15,0.1684,0.96468,,
16,0.29863,0.85714,,
17,0.43904,0.88571,,
18,0.0109,0.99507,,
19,0.1603,0.93596,,
20,0.01,0.99507,,
21,0.0125,1.0,,
22,0.07106,0.96552,,
23,0.05286,0.98455,,
24,0.7765,0.68027,,
25,0.09625,0.97436,,
26,0.11284,0.96296,,
27,0.15904,0.9543,,
28,0.0,0.0,,
29,0.00716,1.0,,
30,0.08285,0.98448,,
31,0.19557,0.93939,,
32,0.0,0.0,,
33,0.09052,0.97537,,
34,0.14244,0.97537,,
35,0.89937,0.8,,
36,0.0945,0.97576,,
37,0.05223,0.98182,,
38,0.096,0.98367,,
39,0.13533,0.96552,,
40,0.58963,0.80952,,
41,0.0,0.0,,
42,0.10382,0.95567,,
43,0.1672,0.95533,,
44,0.09933,0.97537,,
45,0.14612,0.94481,,
46,0.0,0.0,,
47,0.1886,0.94581,,
48,0.03527,1.0,,
49,0.14863,0.95758,,
50,0.19136,0.93939,,
51,0.00915,1.0,,
52,0.02343,1.0,,
53,0.0,0.0,,
54,0.05367,0.98286,,
55,0.17336,0.92653,,
56,0.20762,0.88571,,
57,0.0271,0.98864,,
58,0.28789,0.88571,,
59,0.0,0.0,,
60,0.02658,0.99387,,
61,0.05556,0.9803,,
62,0.31497,0.91282,,
63,0.73714,0.65714,,
64,0.0,0.0,,
65,0.00955,1.0,,
66,0.05032,0.97938,,
67,0.10637,0.96552,,
68,0.13846,0.9604,,
69,0.09096,0.97044,,
70,0.34478,0.81481,,
71,0.22455,0.92593,,
72,0.06562,0.98922,,
